Variable,Length,StartsWithAlpha,ContainsSymbols,IsVariable
x,1,1,0,1
x1,2,1,0,1
alpha,5,1,0,1
Beta,4,1,0,1
gama,4,1,0,1
_alpha,6,1,0,1
_beta,5,1,0,1
_gama,5,1,0,1
alpha_1,7,1,0,1
beta_2,6,1,0,1
gama_3,6,1,0,1
1_alpha,7,0,0,0
2_beta,6,0,0,0
3_gama,6,0,0,0
alphagama_beta,14,1,0,1
alphagamabetagama___,20,1,0,1
1alphagama_beta,15,0,0,0
2alphagamabetagama___,21,0,0,0
alpha(,6,1,1,0
beta*,5,1,1,0
gama+,5,1,1,0
1_alph,6,0,0,0
2_bet,5,0,0,0
3_gam,5,0,0,0
aphagamabetagama___,19,1,0,1
1aphagama_beta,14,0,0,0
2alphgamabetagama___,20,0,0,0
alph,4,1,0,1
Bet,3,1,0,1
gam,3,1,0,1
_alph,5,1,0,1
_bet,4,1,0,1
_gam,4,1,0,1
